subject,sex,age_years,height_in,weight_lb,education,languages
JW05,F,22.41,65,120,HS + 2 yrs.,Spanish(HS/4)
JW06,M,24.59,70,155,BA  + 1 yr.,Spanish(C/2)
JW07,M,27.5,73,185,BA,"French, Russian, German(1 yr. of each)"
JW08,M,22.83,70,160,BA,French(HS); Russian(C)
JW09,F,30.36,67,200,HS + 7 yrs. (pt tm),French(HS)
JW11,M,20.04,69,150,BS,Spanish(HS); French(HS)
JW12,M,21.1,72,155,HS + 3 yrs.,Spanish(HS)
JW13,F,36.98,65,165,HS,French(HS)
JW14,F,36.02,68,145,BS,Spanish(HS)
JW15,M,22.44,66,130,HS + 4 yrs.,Spanish(HS/4yrs)
JW16,F,20.49,65,140,HS + 2 yrs.,German(HS/3; C/0.5); some German spoken in home
JW17/22,F,20.65,66,125,HS + 2 yrs.,French(HS/3)
JW18,M,19.38,69,170,HS  + .5 yr.,Spanish(HS/4)
JW19,M,21.66,70,155,HS + 3 yrs.,Spanish(HS/4)
JW20,F,25.39,67,125,BS + 1 yr.,French(HS)
JW21,F,21.57,66,140,HS + 3 yrs.,Spanish(HS/3); French(C/1)
JW23,F,25.12,64,117,HS + 3 yrs.,Cantonese(semifluent);Russian(4 yrs Col);Turk(1);Japanese(1)
JW24,M,19.65,72,150,HS + 1 yr.,Russian(C/1.5)
JW25,F,24.19,65,125,BS,none
JW26,F,23.88,65,140,BA,French(fluent: HS+C+1 yr abroad); Spanish(C/1)
JW27,F,20.85,65,190,HS + 2 yrs.,French(HS+C/4 total)
JW28,M,21.58,73,165,HS + 2 yrs.,German(HS/4;C/1;exch. student x2)
JW29,F,20.61,66,125,HS + 2 yrs.,Spanish(HS/3)
JW30,F,19.45,65,150,HS + 1 yr.,German(HS+Mid/5; 1 year in Germany @ age 7)
JW31,F,19.92,62,130,HS + 1 yr.,German(HS/2)
JW32,M,21.85,72,175,HS + 2 yrs.,Spanish(HS/2)
JW33,F,19.41,66,125,HS + 1 yr.,French(C?/2); Chinese(HS/3)
JW34,F,20.99,68,145,HS + 2 yrs.,French(HS/1;C/2)
JW35,F,24.28,71,165,BA,Spanish(HS/3); French(C/1.5)
JW37,F,20.12,67,120,HS + 2 yrs.,Spanish(HS/4)
JW38/2,F,20.88,65,120,HS + 3 yrs.,Spanish(HS/5); Italian(C/1.5)
JW36,F,18.33,62,110,HS,Spanish(HS/4;C/0.5)
JW39,F,23.77,66,140,BA,Spanish(HS/5;C/2)
JW40,M,19.21,73,165,HS + 1 yr.,German(HS/2); Japanese(C/0.5)
JW41,M,20.41,75,190,HS + 2 yrs.,Spanish(HS/2); German(C/2)
JW42,M,18.56,73,165,HS,Spanish(HS/3.5)
JW43,M,20.05,74,180,HS + 1 yr.,French(HS/5;C/0.5)
JW44,M,20.75,69,170,HS,French(HS/5)
JW45,M,21.24,69,173,HS + 3 yrs.,German(HS/5)
JW46,F,19.57,63,110,HS + 2 yrs.,Spanish(HS/4;C/1.5)
JW47/2,F,25.32,71,160,BS,French(C/1)
JW48,F,21.33,61,150,HS,None
JW49,F,19.45,63,115,HS + 1 yr.,Spanish(HS/4;C/1)
JW502,F,34.04,62,175,BA/BS,Spanish (HS/2)
JW51,M,19.19,72,175,HS,Spanish(HS)
JW52,F,26.46,68,125,BA,French(HS+C/6 total)
JW53,M,20.72,72,155,HS + 2 yrs.,German(HS+C/7 total); Chinese(C/1)
JW54,F,21.34,67,120,HS + 2 yrs.,None
JW55,M,26.71,72,182,BA,Spanish(HS;C); French(C/0.5)
JW56,F,22.33,67,140,BS,Spanish(HS/3;C/0.5); 1 summer in Brazil(Port.); Czech in home
JW57,M,19.6,74,195,HS + 1 yr.,Spanish(HS/3); French(C/1.5)
JW58,M,23.23,71,165,BA,Hebrew(6+;C/1.5)
JW59,M,29.28,69,160,MA,German(HS/4;C/2)
JW60,F,20.19,67,130,HS + 2 yrs.,French(HS/4)
JW61,M,20.4,70,150,HS + 2 yrs.,French(HS/2;C/2)
JW62,F,18.38,64,110,HS,Spanish(HS/2)
JW63,M,20.66,71,145,HS + 2 yrs.,French(HS/3); Italian(C/1)
